date,match_title,set,duration,url,gameid,url_timeline,url_video,yt_link,start_time,is_paused,pause_start(ingame),pause_end(video)
250402,DRX vs DNF,1,35:45,https://gol.gg//game/stats/65431/page-summary/,65431,https://gol.gg/game/stats/65431/page-timeline/,https://www.youtube.com/watch?v=0tNQMrL_Sqg,https://www.youtube.com/watch?v=0tNQMrL_Sqg,3:16:29,,,
250402,DRX vs DNF,2,28:29,https://gol.gg//game/stats/65431/page-summary/,65432,https://gol.gg/game/stats/65432/page-timeline/,https://www.youtube.com/watch?v=0tNQMrL_Sqg,https://www.youtube.com/watch?v=0tNQMrL_Sqg,4:16:09,,,
250402,HLE vs GEN,1,28:31,https://gol.gg//game/stats/65428/page-summary/,65428,https://gol.gg/game/stats/65428/page-timeline/,https://www.youtube.com/watch?v=0tNQMrL_Sqg,https://www.youtube.com/watch?v=0tNQMrL_Sqg,1:10:48,,,
250402,HLE vs GEN,2,29:10,https://gol.gg//game/stats/65428/page-summary/,65429,https://gol.gg/game/stats/65429/page-timeline/,https://www.youtube.com/watch?v=0tNQMrL_Sqg,https://www.youtube.com/watch?v=0tNQMrL_Sqg,2:00:48,,,
250403,BFX vs DK,1,28:40,https://gol.gg//game/stats/65465/page-summary/,65465,https://gol.gg/game/stats/65465/page-timeline/,https://www.youtube.com/watch?v=j37BSSBlLQI,https://www.youtube.com/watch?v=j37BSSBlLQI,3:16:09,,,
250403,BFX vs DK,2,26:27,https://gol.gg//game/stats/65465/page-summary/,65466,https://gol.gg/game/stats/65466/page-timeline/,https://www.youtube.com/watch?v=j37BSSBlLQI,https://www.youtube.com/watch?v=j37BSSBlLQI,4:06:38,,,
250403,BFX vs DK,3,36:55,https://gol.gg//game/stats/65465/page-summary/,65467,https://gol.gg/game/stats/65467/page-timeline/,https://www.youtube.com/watch?v=j37BSSBlLQI,https://www.youtube.com/watch?v=j37BSSBlLQI,4:54:35,,,
250403,NS vs BRO,1,36:08,https://gol.gg//game/stats/65462/page-summary/,65462,https://gol.gg/game/stats/65462/page-timeline/,https://www.youtube.com/watch?v=j37BSSBlLQI,https://www.youtube.com/watch?v=j37BSSBlLQI,0:59:07,,,
250403,NS vs BRO,2,32:41,https://gol.gg//game/stats/65462/page-summary/,65463,https://gol.gg/game/stats/65463/page-timeline/,https://www.youtube.com/watch?v=j37BSSBlLQI,https://www.youtube.com/watch?v=j37BSSBlLQI,1:56:41,,,
250404,DRX vs T1,1,33:39,https://gol.gg//game/stats/65471/page-summary/,65471,https://gol.gg/game/stats/65471/page-timeline/,https://www.youtube.com/watch?v=l-PJT-jZAsI,https://www.youtube.com/watch?v=l-PJT-jZAsI,3:51:34,,,
250404,DRX vs T1,2,34:04,https://gol.gg//game/stats/65471/page-summary/,65472,https://gol.gg/game/stats/65472/page-timeline/,https://www.youtube.com/watch?v=l-PJT-jZAsI,https://www.youtube.com/watch?v=l-PJT-jZAsI,4:46:43,,,
250404,HLE vs KT,1,34:08,https://gol.gg//game/stats/65468/page-summary/,65468,https://gol.gg/game/stats/65468/page-timeline/,https://www.youtube.com/watch?v=l-PJT-jZAsI,https://www.youtube.com/watch?v=l-PJT-jZAsI,0:39:09,,,
250404,HLE vs KT,2,35:35,https://gol.gg//game/stats/65468/page-summary/,65469,https://gol.gg/game/stats/65469/page-timeline/,https://www.youtube.com/watch?v=l-PJT-jZAsI,https://www.youtube.com/watch?v=l-PJT-jZAsI,1:36:33,,,
250404,HLE vs KT,3,30:30,https://gol.gg//game/stats/65468/page-summary/,65470,https://gol.gg/game/stats/65470/page-timeline/,https://www.youtube.com/watch?v=l-PJT-jZAsI,https://www.youtube.com/watch?v=l-PJT-jZAsI,2:34:23,,,
250405,DNF vs NS,1,44:39,https://gol.gg//game/stats/65477/page-summary/,65477,https://gol.gg/game/stats/65477/page-timeline/,https://www.youtube.com/watch?v=mWvxsvzECbk,https://www.youtube.com/watch?v=mWvxsvzECbk,3:50:40,,,
250405,DNF vs NS,2,39:34,https://gol.gg//game/stats/65477/page-summary/,65478,https://gol.gg/game/stats/65478/page-timeline/,https://www.youtube.com/watch?v=mWvxsvzECbk,https://www.youtube.com/watch?v=mWvxsvzECbk,4:57:59,,,
250405,BRO vs BFX,1,32:10,https://gol.gg//game/stats/65474/page-summary/,65474,https://gol.gg/game/stats/65474/page-timeline/,https://www.youtube.com/watch?v=mWvxsvzECbk,https://www.youtube.com/watch?v=mWvxsvzECbk,0:52:17,,,
250405,BRO vs BFX,2,33:40,https://gol.gg//game/stats/65474/page-summary/,65475,https://gol.gg/game/stats/65475/page-timeline/,https://www.youtube.com/watch?v=mWvxsvzECbk,https://www.youtube.com/watch?v=mWvxsvzECbk,1:45:03,,,
250405,BRO vs BFX,3,24:59,https://gol.gg//game/stats/65474/page-summary/,65476,https://gol.gg/game/stats/65476/page-timeline/,https://www.youtube.com/watch?v=mWvxsvzECbk,https://www.youtube.com/watch?v=mWvxsvzECbk,2:39:50,,,
250406,T1 vs GEN,1,33:59,https://gol.gg//game/stats/65483/page-summary/,65483,https://gol.gg/game/stats/65483/page-timeline/,https://www.youtube.com/watch?v=Ug8IvqGYIwk,https://www.youtube.com/watch?v=Ug8IvqGYIwk,2:59:51,,,
250406,T1 vs GEN,2,38:35,https://gol.gg//game/stats/65483/page-summary/,65484,https://gol.gg/game/stats/65484/page-timeline/,https://www.youtube.com/watch?v=Ug8IvqGYIwk,https://www.youtube.com/watch?v=Ug8IvqGYIwk,3:59:54,,,
250406,T1 vs GEN,3,50:39,https://gol.gg//game/stats/65483/page-summary/,65485,https://gol.gg/game/stats/65485/page-timeline/,https://www.youtube.com/watch?v=Ug8IvqGYIwk,https://www.youtube.com/watch?v=Ug8IvqGYIwk,5:04:43,,,
250406,KT vs DK,1,34:49,https://gol.gg//game/stats/65480/page-summary/,65480,https://gol.gg/game/stats/65480/page-timeline/,https://www.youtube.com/watch?v=Ug8IvqGYIwk,https://www.youtube.com/watch?v=Ug8IvqGYIwk,0:37:15,1,1:59,0:41:38
250406,KT vs DK,2,33:28,https://gol.gg//game/stats/65480/page-summary/,65481,https://gol.gg/game/stats/65481/page-timeline/,https://www.youtube.com/watch?v=Ug8IvqGYIwk,https://www.youtube.com/watch?v=Ug8IvqGYIwk,1:37:39,,,
250409,DK vs BRO,1,30:38,https://gol.gg//game/stats/65641/page-summary/,65641,https://gol.gg/game/stats/65641/page-timeline/,https://www.youtube.com/watch?v=eYP4caLsl4A,https://www.youtube.com/watch?v=eYP4caLsl4A,4:03:44,,,
250409,DK vs BRO,2,29:41,https://gol.gg//game/stats/65641/page-summary/,65642,https://gol.gg/game/stats/65642/page-timeline/,https://www.youtube.com/watch?v=eYP4caLsl4A,https://www.youtube.com/watch?v=eYP4caLsl4A,4:55:03,,,
250409,DNF vs HLE,1,35:27,https://gol.gg//game/stats/65638/page-summary/,65638,https://gol.gg/game/stats/65638/page-timeline/,https://www.youtube.com/watch?v=eYP4caLsl4A,https://www.youtube.com/watch?v=eYP4caLsl4A,0:56:18,,,
250409,DNF vs HLE,2,30:48,https://gol.gg//game/stats/65638/page-summary/,65639,https://gol.gg/game/stats/65639/page-timeline/,https://www.youtube.com/watch?v=eYP4caLsl4A,https://www.youtube.com/watch?v=eYP4caLsl4A,1:54:15,,,
250409,DNF vs HLE,3,29:30,https://gol.gg//game/stats/65638/page-summary/,65640,https://gol.gg/game/stats/65640/page-timeline/,https://www.youtube.com/watch?v=eYP4caLsl4A,https://www.youtube.com/watch?v=eYP4caLsl4A,2:50:08,,,
250410,T1 vs KT,1,24:33,https://gol.gg//game/stats/65647/page-summary/,65647,https://gol.gg/game/stats/65647/page-timeline/,https://www.youtube.com/watch?v=X_m8I_2LARA,https://www.youtube.com/watch?v=X_m8I_2LARA,3:02:59,,,
250410,T1 vs KT,2,30:11,https://gol.gg//game/stats/65647/page-summary/,65648,https://gol.gg/game/stats/65648/page-timeline/,https://www.youtube.com/watch?v=X_m8I_2LARA,https://www.youtube.com/watch?v=X_m8I_2LARA,3:50:33,,,
250410,BFX vs DRX,1,33:00,https://gol.gg//game/stats/65644/page-summary/,65644,https://gol.gg/game/stats/65644/page-timeline/,https://www.youtube.com/watch?v=X_m8I_2LARA,https://www.youtube.com/watch?v=X_m8I_2LARA,0:38:36,,,
250410,BFX vs DRX,2,33:21,https://gol.gg//game/stats/65644/page-summary/,65645,https://gol.gg/game/stats/65645/page-timeline/,https://www.youtube.com/watch?v=X_m8I_2LARA,https://www.youtube.com/watch?v=X_m8I_2LARA,1:34:52,,,
250411,GEN vs NS,1,28:17,https://gol.gg//game/stats/65653/page-summary/,65653,https://gol.gg/game/stats/65653/page-timeline/,https://www.youtube.com/watch?v=N2qhTzIqNPE,https://www.youtube.com/watch?v=N2qhTzIqNPE,3:36:59,,,
250411,GEN vs NS,2,28:06,https://gol.gg//game/stats/65653/page-summary/,65654,https://gol.gg/game/stats/65654/page-timeline/,https://www.youtube.com/watch?v=N2qhTzIqNPE,https://www.youtube.com/watch?v=N2qhTzIqNPE,4:28:43,,,
250411,BRO vs DNF,1,31:15,https://gol.gg//game/stats/65650/page-summary/,65650,https://gol.gg/game/stats/65650/page-timeline/,https://www.youtube.com/watch?v=N2qhTzIqNPE,https://www.youtube.com/watch?v=N2qhTzIqNPE,0:36:01,,,
250411,BRO vs DNF,2,29:53,https://gol.gg//game/stats/65650/page-summary/,65651,https://gol.gg/game/stats/65651/page-timeline/,https://www.youtube.com/watch?v=N2qhTzIqNPE,https://www.youtube.com/watch?v=N2qhTzIqNPE,1:29:12,,,
250411,BRO vs DNF,3,31:04,https://gol.gg//game/stats/65650/page-summary/,65652,https://gol.gg/game/stats/65652/page-timeline/,https://www.youtube.com/watch?v=N2qhTzIqNPE,https://www.youtube.com/watch?v=N2qhTzIqNPE,2:21:48,,,
250412,KT vs BFX,1,29:59,https://gol.gg//game/stats/65659/page-summary/,65659,https://gol.gg/game/stats/65659/page-timeline/,https://www.youtube.com/watch?v=LrWJ-UDMGyI,https://www.youtube.com/watch?v=LrWJ-UDMGyI,3:08:54,1,5:25,3:15:04
250412,KT vs BFX,2,29:04,https://gol.gg//game/stats/65659/page-summary/,65660,https://gol.gg/game/stats/65660/page-timeline/,https://www.youtube.com/watch?v=LrWJ-UDMGyI,https://www.youtube.com/watch?v=LrWJ-UDMGyI,4:01:14,,,
250412,KT vs BFX,3,26:15,https://gol.gg//game/stats/65659/page-summary/,65661,https://gol.gg/game/stats/65661/page-timeline/,https://www.youtube.com/watch?v=LrWJ-UDMGyI,https://www.youtube.com/watch?v=LrWJ-UDMGyI,4:52:37,,,
250412,HLE vs T1,1,31:39,https://gol.gg//game/stats/65656/page-summary/,65656,https://gol.gg/game/stats/65656/page-timeline/,https://www.youtube.com/watch?v=LrWJ-UDMGyI,https://www.youtube.com/watch?v=LrWJ-UDMGyI,0:47:02,,,
250412,HLE vs T1,2,27:49,https://gol.gg//game/stats/65656/page-summary/,65657,https://gol.gg/game/stats/65657/page-timeline/,https://www.youtube.com/watch?v=LrWJ-UDMGyI,https://www.youtube.com/watch?v=LrWJ-UDMGyI,1:55:32,1,,
